filename,rotation_axis,rotation_angle_deg,stack_separation_A,variant
dimer_a_axis_000deg_sep3.50_base_0000.xyz,a_axis,0,3.5,base
dimer_a_axis_000deg_sep3.80_base_0001.xyz,a_axis,0,3.8,base
dimer_a_axis_000deg_sep4.20_jitter_0002.xyz,a_axis,0,4.2,jitter
dimer_a_axis_000deg_sep5.00_base_0003.xyz,a_axis,0,5.0,base
dimer_a_axis_005deg_sep3.50_base_0004.xyz,a_axis,5,3.5,base
dimer_a_axis_005deg_sep3.80_jitter_0005.xyz,a_axis,5,3.8,jitter
dimer_a_axis_005deg_sep4.20_base_0006.xyz,a_axis,5,4.2,base
dimer_a_axis_005deg_sep5.00_jitter_0007.xyz,a_axis,5,5.0,jitter
dimer_a_axis_010deg_sep3.50_base_0008.xyz,a_axis,10,3.5,base
dimer_a_axis_010deg_sep3.80_jitter_0009.xyz,a_axis,10,3.8,jitter
dimer_a_axis_010deg_sep4.20_base_0010.xyz,a_axis,10,4.2,base
dimer_a_axis_010deg_sep5.00_jitter_0011.xyz,a_axis,10,5.0,jitter
dimer_a_axis_015deg_sep3.50_jitter_0012.xyz,a_axis,15,3.5,jitter
dimer_a_axis_015deg_sep3.80_jitter_0013.xyz,a_axis,15,3.8,jitter
dimer_a_axis_015deg_sep4.20_base_0014.xyz,a_axis,15,4.2,base
dimer_a_axis_015deg_sep5.00_base_0015.xyz,a_axis,15,5.0,base
dimer_a_axis_020deg_sep3.50_jitter_0016.xyz,a_axis,20,3.5,jitter
dimer_a_axis_020deg_sep3.80_jitter_0017.xyz,a_axis,20,3.8,jitter
dimer_a_axis_020deg_sep4.20_base_0018.xyz,a_axis,20,4.2,base
dimer_a_axis_020deg_sep5.00_base_0019.xyz,a_axis,20,5.0,base
dimer_a_axis_025deg_sep3.50_base_0020.xyz,a_axis,25,3.5,base
dimer_a_axis_025deg_sep3.80_base_0021.xyz,a_axis,25,3.8,base
dimer_a_axis_025deg_sep4.20_base_0022.xyz,a_axis,25,4.2,base
dimer_a_axis_025deg_sep5.00_jitter_0023.xyz,a_axis,25,5.0,jitter
dimer_a_axis_030deg_sep3.50_base_0024.xyz,a_axis,30,3.5,base
dimer_a_axis_030deg_sep3.80_jitter_0025.xyz,a_axis,30,3.8,jitter
dimer_a_axis_030deg_sep4.20_base_0026.xyz,a_axis,30,4.2,base
dimer_a_axis_030deg_sep5.00_base_0027.xyz,a_axis,30,5.0,base
dimer_a_axis_035deg_sep3.50_jitter_0028.xyz,a_axis,35,3.5,jitter
dimer_a_axis_035deg_sep3.80_base_0029.xyz,a_axis,35,3.8,base
dimer_a_axis_035deg_sep4.20_base_0030.xyz,a_axis,35,4.2,base
dimer_a_axis_035deg_sep5.00_jitter_0031.xyz,a_axis,35,5.0,jitter
dimer_a_axis_040deg_sep3.60_base_0032.xyz,a_axis,40,3.6,base
dimer_a_axis_040deg_sep3.90_base_0033.xyz,a_axis,40,3.9,base
