xtb_energy_per_atom,mace_r0_energy_per_atom,mace_r1_energy_per_atom
-40.998184016576296,-41.005175555193865,-41.00218031141493
-41.002475830191464,-41.00783736617477,-41.00499810112847
-40.998480667627405,-41.00523546006944,-41.002242476851855
-40.86253977704258,-40.86756388346354,-40.865128128616895
-41.002956569921984,-41.008008038556135,-41.00530327690972
-41.00397610974482,-41.009282995153356,-41.006863064236114
-40.89944941431023,-40.904284441912615,-40.902072482638886
-41.00247027130707,-41.007303873697914,-41.004920111762154
-40.86428598376878,-40.869329381872106,-40.86675234194155
-40.84223442270313,-40.848300509982636,-40.84558331524884
-40.853591016433086,-40.859624792028356,-40.856898555049185
-41.00252471123011,-41.00804533781829,-41.005210593894674
-40.998399475058676,-41.00522415726273,-41.00224699797454
-41.0016530064143,-41.006536413122106,-41.003991021050346
-40.99903357073607,-41.00587406864873,-41.002968117042826
-40.86684215426194,-40.87370356807002,-40.87091177481192
-40.99748654589866,-41.00542421694155,-41.002540870949076
-40.99745621161006,-41.00529084382234,-41.002418800636576
-40.995308159450985,-41.0018310546875,-40.99914437753183
-40.99824429510198,-41.00553272388599,-41.002648247612846
-40.894169301454255,-40.90190746166088,-40.89895855938946
-40.99863423620513,-41.00608430085359,-41.00321790907118
-41.00749067688494,-41.01296431929977,-41.010503698278356
-41.00516329650735,-41.01067889178241,-41.00798430266204
-40.99838937364494,-41.00522076642071,-41.002242476851855
-41.00211410331075,-41.00703712745949,-41.00448043258102
-40.99988393146739,-41.00648442021123,-41.003743489583336
-40.889872645593265,-40.897839581524885,-40.89473130967882
-40.997590579687476,-41.00460928457755,-41.00194295247396
-40.99820223604533,-41.00538578739873,-41.00262903284144
-40.99745895366446,-41.005200421368635,-41.0023509837963
-40.99844698229888,-41.005731653284144,-41.00292742693866
-40.86930158222109,-40.87615627712674,-40.87334413881655
-40.996514827265635,-41.00340101453993,-41.00067364728009
-40.99730487758185,-41.00443409107349,-41.001602737991895
-41.0074906768866,-41.01296431929977,-41.010503698278356
-40.84948174205517,-40.854895697699654,-40.85193210177951
-41.00543976339738,-41.01075688114873,-41.00831773546007
-41.00296371539306,-41.008044207537615,-41.005345097294565
-40.88026127384492,-40.88694932725694,-40.88397329824942
-41.004919181171516,-41.00989786783854,-41.007462112991895
-40.99943121490487,-41.005865026403356,-41.002970377604164
-40.85784411790067,-40.86260873300058,-40.86016845703125
-40.88478800084232,-40.88973772967304,-40.8872386791088
-40.8705410911497,-40.87585223162616,-40.873138427734375
-40.898537885552834,-40.90338021737558,-40.90075344509549
