xtb_force,mace_r0_force,mace_r1_force
-0.24601284,-0.24277325,-0.24262284
-0.36453633,-0.36129567,-0.3663708
0.01709839,0.0,0.0
0.06405132,0.051148653,0.050083358
-0.42496737,-0.41220465,-0.42054662
0.00392068,0.0,0.0
-0.05566474,-0.050876375,-0.047381807
-0.46560404,-0.46900323,-0.4705199
0.01727738,0.0,0.0
-0.1289336,-0.13517098,-0.13717851
-0.51461893,-0.5039172,-0.5106209
0.00491237,0.0,0.0
0.53789472,0.52787423,0.5361584
-0.63638957,-0.6294554,-0.6296802
0.00436831,0.0,0.0
0.53301239,0.52471155,0.5326087
0.63820645,0.6311886,0.6314019
0.00437772,0.0,0.0
-0.11809301,-0.1256582,-0.1278389
0.51892526,0.50931084,0.51587933
0.00492679,0.0,0.0
-0.11319797,-0.11417822,-0.110584855
0.46492535,0.46632895,0.46802858
0.01719873,0.0,0.0
-0.14757231,-0.16534396,-0.16661914
0.34948953,0.33097857,0.3394347
0.00410342,0.0,0.0
0.47390062,0.47870502,0.47956625
0.35749658,0.35521126,0.36011413
0.01710167,0.0,0.0
0.20941912,0.20635824,0.20645869
-0.45649363,-0.44620267,-0.45383546
0.00384862,0.0,0.0
-0.01123658,0.00011013573,-1.0582929e-05
0.03522163,0.03740552,0.039410263
0.00325519,0.0,0.0
0.0195347,0.02458407,0.024558553
0.0112052,0.0136296945,0.014947857
0.00316699,0.0,0.0
-0.0225553,-0.02538537,-0.025875533
-0.0545972,-0.053533774,-0.051911402
0.0021459,0.0,0.0
-0.02291889,-0.02589199,-0.026404953
0.05470097,0.05385952,0.05208234
0.00213796,0.0,0.0
0.01882121,0.024695924,0.024607847
-0.01136901,-0.013741125,-0.015034954
0.0031181,0.0,0.0
-0.01104374,0.0027644115,0.00269414
-0.03514691,-0.037414234,-0.03937115
0.0031875,0.0,0.0
-0.00253398,0.0007409129,0.00091698935
0.02571898,0.029343357,0.031189019
0.00294407,0.0,0.0
-0.30043481,-0.29977635,-0.30070516
-0.37399254,-0.37006274,-0.3752289
0.0170252,0.0,0.0
-0.3591565,-0.36620903,-0.36652967
0.37683376,0.3730576,0.37833893
0.01709788,0.0,0.0
0.12459454,0.13573354,0.13646644
0.32687239,0.30814984,0.31646064
0.00408775,0.0,0.0
0.13593422,0.1344514,0.1312084
0.49255493,0.49314883,0.49528846
0.01721056,0.0,0.0
0.10838494,0.11498681,0.116709374
0.51975126,0.5101494,0.51679295
0.00492154,0.0,0.0
-0.52771831,-0.51917595,-0.5269977
0.65216913,0.64369076,0.64460295
0.00437711,0.0,0.0
-0.52668705,-0.5172816,-0.5253931
-0.65281552,-0.6447019,-0.6455235
0.00437854,0.0,0.0
0.10536878,0.10988167,0.11237526
-0.52042862,-0.51131946,-0.5176554
0.00493198,0.0,0.0
0.1432574,0.14263009,0.13890116
-0.49344172,-0.49330124,-0.49541724
0.01720735,0.0,0.0
0.11147855,0.1223372,0.123924494
-0.3323592,-0.3140786,-0.32254437
0.00410712,0.0,0.0
0.00936183,0.0015875436,0.0015733996
0.03810691,0.0412789,0.04298292
0.00315755,0.0,0.0
-0.01879175,-0.024853552,-0.024833748
0.0112599,0.013669203,0.014959127
0.00311821,0.0,0.0
0.02291093,0.025580993,0.026115363
-0.0548089,-0.054011185,-0.05225326
0.00215473,0.0,0.0
0.02286684,0.025499364,0.026039595
0.05481235,0.053896457,0.052152816
0.00215784,0.0,0.0
-0.01884806,-0.024814269,-0.02479071
-0.01124933,-0.013667901,-0.014971633
0.00313202,0.0,0.0
0.00862223,0.0011927396,0.0012322193
-0.03802852,-0.04048864,-0.042366434
0.00320019,0.0,0.0
-0.01564032,-0.022117903,-0.022389216
0.53847732,0.5339079,0.5414379
0.00367727,0.0,0.0
-0.00237459,0.0039321836,0.0039572786
-0.02588059,-0.029804835,-0.031653047
0.00300257,0.0,0.0
-0.24601136,-0.24277417,-0.2426219
-0.36454085,-0.36129585,-0.3663706
-0.01709696,0.0,0.0
0.06404842,0.051149637,0.050083127
-0.4249675,-0.41220465,-0.42054605
-0.0039214,0.0,0.0
-0.05566142,-0.050876986,-0.047382116
-0.46560456,-0.46900395,-0.47052017
-0.01727632,0.0,0.0
-0.12893668,-0.13517083,-0.13717838
-0.51461841,-0.5039173,-0.5106204
-0.00491285,0.0,0.0
0.5378965,0.52787465,0.5361584
-0.63638583,-0.6294554,-0.62968045
-0.00436793,0.0,0.0
0.53301427,0.5247114,0.53260833
0.63820276,0.63118863,0.6314022
-0.00437729,0.0,0.0
-0.11809613,-0.12565787,-0.12783876
0.5189247,0.50931096,0.5158794
-0.00492726,0.0,0.0
-0.11319478,-0.11417837,-0.11058497
0.46492593,0.46632972,0.46802863
-0.01719767,0.0,0.0
-0.14757481,-0.16534345,-0.16661996
0.34948976,0.33097857,0.3394347
-0.00410416,0.0,0.0
0.47390171,0.47870502,0.4795667
0.35750125,0.35521105,0.36011398
-0.01710026,0.0,0.0
0.20941854,0.20635909,0.20645829
-0.45649405,-0.44620228,-0.45383513
-0.00384949,0.0,0.0
-0.01123663,0.00011002024,-1.0485451e-05
0.0352216,0.03740524,0.03941023
-0.00325593,0.0,0.0
0.01953468,0.024583919,0.024558509
0.01120516,0.013630013,0.014947693
-0.00316699,0.0,0.0
-0.02255536,-0.025385594,-0.025875872
-0.05459705,-0.053533692,-0.051911276
-0.00214632,0.0,0.0
-0.02291896,-0.025892338,-0.026405027
0.05470081,0.053859357,0.052082118
-0.00213839,0.0,0.0
0.01882115,0.024695938,0.024607949
-0.01136899,-0.013741106,-0.015035178
-0.00311812,0.0,0.0
-0.01104379,0.0027642865,0.002694306
-0.03514689,-0.037414193,-0.039371256
-0.00318821,0.0,0.0
-0.002534,0.0007408384,0.00091711007
0.02571897,0.029343257,0.031188786
-0.00294424,0.0,0.0
-0.30043551,-0.29977584,-0.30070475
-0.37399737,-0.37006238,-0.37522778
-0.01702375,0.0,0.0
-0.35915763,-0.36620918,-0.36652896
0.37683853,0.3730574,0.37833825
-0.01709643,0.0,0.0
0.12459723,0.1357335,0.13646662
0.32687255,0.30814978,0.31646058
-0.0040885,0.0,0.0
0.13593099,0.13445194,0.13120854
0.4925555,0.4931486,0.49528828
-0.01720949,0.0,0.0
0.10838805,0.11498654,0.116708875
0.5197507,0.5101493,0.51679283
-0.00492203,0.0,0.0
-0.5277202,-0.5191762,-0.5269978
0.65216546,0.64369076,0.64460313
-0.00437669,0.0,0.0
-0.52668867,-0.5172815,-0.52539355
-0.65281178,-0.6447018,-0.64552337
-0.00437812,0.0,0.0
0.10537129,0.1098809,0.112375505
-0.52042825,-0.5113196,-0.51765555
-0.00493248,0.0,0.0
0.1432546,0.14263088,0.13890071
-0.4934423,-0.49330178,-0.49541712
-0.01720624,0.0,0.0
0.11148102,0.1223366,0.12392509
-0.33235923,-0.31407842,-0.32254434
-0.00410787,0.0,0.0
0.00936182,0.0015875421,0.0015732922
0.03810691,0.041279655,0.04298306
-0.00315829,0.0,0.0
-0.01879173,-0.024853425,-0.02483391
0.01125987,0.013669063,0.014959122
-0.00311823,0.0,0.0
0.02291104,0.025580853,0.026115194
-0.05480877,-0.054011118,-0.052253444
-0.00215517,0.0,0.0
0.02286693,0.025499677,0.026040003
0.05481219,0.053896356,0.052152675
-0.00215828,0.0,0.0
-0.018848,-0.024814084,-0.024790635
-0.0112493,-0.01366805,-0.014971326
-0.00313203,0.0,0.0
0.00862228,0.0011928013,0.0012323264
-0.03802851,-0.040488373,-0.042366434
-0.00320092,0.0,0.0
-0.01564031,-0.022118261,-0.022389323
0.53847757,0.5339079,0.5414374
-0.00367814,0.0,0.0
-0.00237456,0.003932155,0.00395742
-0.02588058,-0.029805422,-0.031653654
-0.00300277,0.0,0.0
-0.24630257,-0.2436257,-0.24332015
-0.37019424,-0.3610283,-0.3679453
0.03129583,0.01932818,0.022490457
0.06361111,0.053423423,0.05157234
-0.43402565,-0.4247547,-0.43337455
0.01146897,0.017648669,0.018699499
-0.05710527,-0.05667222,-0.052489985
-0.47086914,-0.46442428,-0.46861443
0.03139114,0.021030545,0.023766147
-0.12871399,-0.12900124,-0.13057314
-0.52310502,-0.5189559,-0.5254083
0.01164177,0.01034087,0.0137428865
0.54299191,0.53192157,0.5401142
-0.64264005,-0.6468425,-0.6460604
0.01169081,0.018422185,0.019786956
0.54033723,0.534903,0.5408981
0.64032175,0.6369207,0.6378472
0.01393893,0.011999369,0.012748584
-0.11662815,-0.1282277,-0.12847205
0.52955829,0.53204155,0.53682697
0.0167246,0.024286987,0.026319353
-0.114198,-0.12975569,-0.12393943
0.4639814,0.46177575,0.46344116
0.03322383,0.033794433,0.032767627
-0.14757855,-0.15526105,-0.15926021
0.36161993,0.34249747,0.35252082
0.01831032,0.023307493,0.024423542
0.47365545,0.47520638,0.47651306
0.35564323,0.35028923,0.3541391
0.03368316,0.030473126,0.03128871
0.20941338,0.20624316,0.20634855
-0.46557335,-0.45724347,-0.46543327
0.01157511,0.021531211,0.021885818
-0.01123289,-0.001173107,-0.0010173382
0.03343757,0.044229586,0.044339657
0.00748683,0.00094213575,0.001307991
0.02043846,0.023555377,0.023270493
0.00922832,0.018624196,0.01799121
0.00721716,0.0006001024,0.0016334765
-0.02133346,-0.030320823,-0.029347891
-0.05530009,-0.0514219,-0.050815612
0.0048478,0.0022044273,0.003860022
-0.02254446,-0.025848567,-0.026107112
0.05524685,0.05334131,0.052054346
0.00266739,0.0023953833,0.0038181788
0.01836933,0.024355477,0.023928517
-0.01126484,-0.017108152,-0.016773006
0.00107771,-0.0010539858,-0.00017326635
-0.01145746,0.00147756,0.0016104905
-0.03541695,-0.040519893,-0.04127788
0.00011453,0.004049381,0.0031638138
-0.00253002,0.0007590617,0.00095795264
0.02395027,0.03676178,0.036754508
0.00704836,0.0026074883,0.002731828
-0.30005869,-0.29859447,-0.299591
-0.37961239,-0.3697134,-0.37678948
0.03119175,0.01946211,0.022664582
-0.35898123,-0.36344802,-0.36408785
0.37501242,0.3679525,0.37227032
0.03367809,0.030664375,0.031450734
0.12459994,0.12624167,0.12958097
0.33894353,0.31973484,0.32964626
0.0182805,0.023412997,0.024483994
0.13695489,0.14955018,0.14409399
0.49166144,0.48822924,0.4904367
0.03324487,0.034046188,0.032985825
0.1069632,0.117588796,0.11740857
0.5303587,0.53306204,0.5379091
0.01671556,0.024267994,0.026267791
-0.53506489,-0.52946454,-0.535405
0.65432292,0.6492178,0.65083605
0.01394242,0.011991918,0.012750399
-0.53179682,-0.5213863,-0.5293821
-0.6590495,-0.6618579,-0.66167855
0.0117,0.018349903,0.019744812
0.10513031,0.10392436,0.10591937
-0.52897475,-0.52626187,-0.53237
0.0116676,0.0103524625,0.013732098
0.14468204,0.14832237,0.14394839
-0.49863858,-0.4884753,-0.49334285
0.03129952,0.02126433,0.024036841
0.11191277,0.120162375,0.12246715
-0.34151804,-0.32669896,-0.33540905
0.01173698,0.01782499,0.018757723
0.00936776,0.002838202,0.0025859687
0.03634161,0.047986936,0.04782334
0.00735419,0.0005909338,0.001017625
-0.01969184,-0.023830846,-0.023551181
0.00928421,0.018701762,0.018028125
0.00716296,0.0005078829,0.0015558949
0.02168686,0.030567199,0.02961365
-0.05551969,-0.05187286,-0.051139563
0.00486675,0.0021270714,0.0037951975
0.0224875,0.02550222,0.025786623
0.05535388,0.05338444,0.052134927
0.00269081,0.0023472738,0.0037782944
-0.01839929,-0.024458656,-0.024105811
